,State,Turnout,D_Votes,R_Votes,Other_Votes,Total_Votes,D_pct,R_pct,O_pct,R_margin,R_lean
0,Alabama,63.7,729547,1318255,75570,2123372,34.36,62.08,3.56,27.72,29.81
1,Alaska,60.3,116454,163387,38767,318608,36.55,51.28,12.17,14.730000000000004,16.82
2,Arizona,63.7,1161167,1252401,191089,2604657,44.58,48.08,7.34,3.5,5.59
3,Arkansas,64.2,380494,684872,65269,1130635,33.65,60.57,5.77,26.92,29.01
4,California,73.3,8753792,4483814,1000287,14237893,61.48,31.49,7.03,-29.99,-27.9
5,Colorado,72.4,1338870,1202484,238893,2780247,48.16,43.25,8.59,-4.909999999999997,-2.82
6,Connecticut,69.8,897572,673215,74133,1644920,54.57,40.93,4.51,-13.64,-11.55
7,Delaware,65.7,235603,185127,23084,443814,53.09,41.71,5.2,-11.380000000000003,-9.29
8,D. C.,65.0,282830,12723,15715,311268,90.86,4.09,5.05,-86.77,-84.68
9,Florida,,4504975,4617886,379886,9502747,47.41,48.6,4.0,1.1900000000000048,3.28
10,Georgia,76.1,1877963,2089104,174380,4141447,45.35,50.44,4.21,5.089999999999996,7.18
11,Hawaii,57.2,266891,128847,33199,428937,62.22,30.04,7.74,-32.18,-30.09
12,Idaho,73.7,189765,409055,91613,690433,27.48,59.25,13.27,31.77,33.86
13,Illinois,69.7,3090729,2146015,358081,5594825,55.24,38.36,6.4,-16.880000000000003,-14.79
14,Indiana,57.1,1033126,1557286,167553,2757965,37.46,56.47,6.08,19.009999999999998,21.1
15,Iowa,72.1,653669,800983,111379,1566031,41.74,51.15,7.11,9.409999999999997,11.5
16,Kansas,65.7,427005,671018,96732,1194755,35.74,56.16,8.1,20.419999999999995,22.51
17,Kentucky,58.2,628854,1202971,92325,1924150,32.68,62.52,4.8,29.840000000000003,31.93
18,Louisiana,67.1,780154,1178638,70240,2029032,38.45,58.09,3.46,19.64,21.73
19,Maine,70.3,357735,335593,54599,747927,47.83,44.87,7.3,-2.960000000000001,-0.87
20,Maryland,,1677928,943169,160349,2781446,60.33,33.91,5.76,-26.42,-24.33
21,Massachusetts,73.3,1995196,1090893,238957,3325046,60.01,32.81,7.19,-27.199999999999996,-25.11
22,Michigan,64.2,2268839,2279543,276160,4824542,47.03,47.25,5.72,0.21999999999999886,2.31
23,Minnesota,81.3,1367825,1323232,254176,2945233,46.44,44.93,8.63,-1.509999999999998,0.58
24,Mississippi,58.1,485131,700714,25243,1211088,40.06,57.86,2.08,17.799999999999997,19.89
25,Missouri,67.0,1071068,1594511,162687,2828266,37.87,56.38,5.75,18.510000000000005,20.6
26,Montana,72.3,177709,279240,44873,501822,35.41,55.65,8.94,20.240000000000002,22.33
27,Nebraska,69.7,284494,495961,63772,844227,33.7,58.75,7.55,25.049999999999997,27.14
28,Nevada,67.0,539260,512058,74067,1125385,47.92,45.5,6.58,-2.4200000000000017,-0.33
29,New Hampshire,73.2,348526,345790,49980,744296,46.83,46.46,6.72,-0.36999999999999744,1.72
30,New Jersey,67.3,2148278,1601933,156512,3906723,54.99,41.0,4.01,-13.990000000000002,-11.9
31,New Mexico,61.9,385234,319667,93418,798319,48.26,40.04,11.7,-8.219999999999999,-6.13
32,New York,61.8,4556142,2819557,346096,7721795,59.0,36.51,4.48,-22.490000000000002,-20.4
33,North Carolina,68.8,2189316,2362631,189617,4741564,46.17,49.83,4.0,3.6599999999999966,5.75
34,North Dakota,,93758,216794,33808,344360,27.23,62.96,9.82,35.730000000000004,37.82
35,Ohio,70.4,2394169,2841006,301372,5536547,43.24,51.31,5.44,8.07,10.16
36,Oklahoma,67.3,420375,949136,83481,1452992,28.93,65.32,5.75,36.38999999999999,38.48
37,Oregon,78.4,1002106,782403,216827,2001336,50.07,39.09,10.83,-10.979999999999997,-8.89
38,Pennsylvania,70.7,2926441,2970733,269555,6166729,47.46,48.17,4.37,0.7100000000000009,2.8
39,Rhode Island,60.2,252525,180543,31076,464144,54.41,38.9,6.7,-15.509999999999998,-13.42
40,South Carolina,67.2,855373,1155389,92265,2103027,40.67,54.94,4.39,14.269999999999996,16.36
41,South Dakota,62.2,117458,227721,24914,370093,31.74,61.53,6.73,29.790000000000003,31.88
42,Tennessee,61.0,870695,1522925,114407,2508027,34.72,60.72,4.56,26.0,28.09
43,Texas,59.6,3877868,4685047,430251,8993166,43.12,52.1,4.78,8.980000000000004,11.07
44,Utah,72.5,310676,515231,317694,1143601,27.17,45.05,27.78,17.879999999999995,19.97
45,Vermont,66.8,178573,95369,41125,315067,56.68,30.27,13.05,-26.41,-24.32
46,Virginia,71.1,1981473,1769443,231836,3982752,49.75,44.43,5.82,-5.32,-3.23
47,Washington,77.7,1742718,1221747,352531,3316996,52.54,36.83,10.63,-15.71,-13.62
48,West Virginia,56.6,188794,489371,43068,721233,26.18,67.85,5.97,41.669999999999995,43.76
49,Wisconsin,80.2,1382536,1405284,188330,2976150,46.45,47.22,6.33,0.769999999999996,2.86
50,Wyoming,92.0,55973,174419,25457,255849,21.88,68.17,9.95,46.290000000000006,48.38
51,Total,74.9,65853652,62985134,8286698,137125484,48.02,45.93,6.04,-2.0900000000000034,0.0
