State	Total Vote	%REG	Gore	Bush	Nader	Other	Gore	Bush	Nader	Other
Alabama	1,672,551	66.10%	 41.59%	 56.47%	 1.10%	 0.85%	695,602	944,409	18,349	 14,191
Alaska	285,560	60.30%	 27.67%	 58.62%	 10.07%	 3.65%	79,004	167,398	28,747	 10,411
Arizona	1,534,113	70.60%	 44.67%	 50.95%	 2.98%	 1.40%	685,341	781,652	45,645	 21,475
Arkansas	921,781	59.20%	 45.86%	 51.31%	 1.46%	 1.37%	422,768	472,940	13,421	 12,652
California	10,965,856	69.80%	 53.45%	 41.65%	 3.82%	 1.08%	5,861,203	4,567,429	418,707	 118,517
Colorado	1,741,365	65.90%	 42.39%	 50.75%	 5.25%	 1.61%	738,227	883,745	91,434	 27,959
Connecticut	1,459,525	76.80%	 55.91%	 38.44%	 4.42%	 1.23%	816,015	561,094	64,452	 17,964
Delaware	327,622	65.10%	 54.96%	 41.90%	 2.54%	 0.60%	180,068	137,288	8,307	 1,959
D. C.	201,894	57.00%	 85.16%	 8.95%	 5.24%	 0.65%	171,923	18,073	10,576	 1,322
Florida	5,963,110	68.10%	 48.84%	 48.85%	 1.63%	 0.68%	2,912,253	2,912,790	97,488	 40,579
Georgia	2,596,804	67.30%	 42.98%	 54.67%	 0.52%	 1.83%	1,116,230	1,419,720	13,432	 47,422
Hawaii	367,951	57.70%	 55.79%	 37.46%	 5.88%	 0.87%	205,286	137,845	21,623	 3,197
Idaho	501,621	68.90%	 27.64%	 67.17%	 2.45%	 2.74%	138,637	336,937	12,292	 13,755
Illinois	4,742,123	66.50%	 54.60%	 42.58%	 2.19%	 0.63%	2,589,026	2,019,421	103,759	 29,917
Indiana	2,199,302	55.10%	 41.01%	 56.65%	 0.84%	 1.50%	901,980	1,245,836	18,531	 32,955
Iowa	1,315,563	71.40%	 48.54%	 48.22%	 2.23%	 1.01%	638,517	634,373	29,374	 13,299
Kansas	1,072,216	66.00%	 37.24%	 58.04%	 3.37%	 1.35%	399,276	622,332	36,086	 14,522
Kentucky	1,544,187	60.40%	 41.37%	 56.50%	 1.50%	 0.62%	638,898	872,492	23,192	 9,605
Louisiana	1,765,656	63.10%	 44.88%	 52.55%	 1.16%	 1.41%	792,344	927,871	20,473	 24,968
Maine	651,817	68.80%	 49.09%	 43.97%	 5.70%	 1.25%	319,951	286,616	37,127	 8,123
Maryland	2,025,480	74.50%	 56.57%	 40.18%	 2.65%	 0.60%	1,145,782	813,797	53,768	 12,133
Massachusetts	2,702,984	67.40%	 59.80%	 32.50%	 6.42%	 1.27%	1,616,487	878,502	173,564	 34,431
Michigan	4,232,711	61.70%	 51.28%	 46.14%	 1.99%	 0.59%	2,170,418	1,953,139	84,165	 24,989
Minnesota	2,438,685	74.70%	 47.91%	 45.50%	 5.20%	 1.40%	1,168,266	1,109,659	126,696	 34,064
Mississippi	994,926	57.20%	 40.70%	 57.62%	 0.82%	 0.86%	404,964	573,230	8,126	 8,606
Missouri	2,359,892	61.10%	 47.08%	 50.42%	 1.63%	 0.86%	1,111,138	1,189,924	38,515	 20,315
Montana	410,997	58.90%	 33.36%	 58.44%	 5.95%	 2.25%	137,126	240,178	24,437	 9,256
Nebraska	697,019	64.20%	 33.25%	 62.25%	 3.52%	 0.98%	231,780	433,862	24,540	 6,837
Nevada	608,970	69.70%	 45.98%	 49.52%	 2.46%	 2.04%	279,978	301,575	15,008	 12,409
New Hampshire	569,081	66.60%	 46.80%	 48.07%	 3.90%	 1.23%	266,348	273,559	22,198	 6,976
New Jersey	3,187,226	67.70%	 56.13%	 40.29%	 2.97%	 0.62%	1,788,850	1,284,173	94,554	 19,649
New Mexico	598,605	61.50%	 47.91%	 47.85%	 3.55%	 0.69%	286,783	286,417	21,251	 4,154
New York	6,831,178	60.70%	 60.22%	 35.22%	 3.58%	 0.99%	4,113,791	2,405,676	244,398	 67,313
North Carolina	2,911,262	56.80%	 43.20%	 56.03%	 0.00%	 0.77%	1,257,692	1,631,163	0	 22,407
North Dakota	288,267	-	 33.05%	 60.66%	 3.29%	 3.00%	95,284	174,852	9,497	 8,634
Ohio	4,705,457	62.40%	 46.46%	 49.97%	 2.50%	 1.07%	2,186,190	2,351,209	117,857	 50,201
Oklahoma	1,234,229	55.30%	 38.43%	 60.31%	 0.00%	 1.27%	474,276	744,337	0	 15,616
Oregon	1,533,968	78.50%	 46.96%	 46.52%	 5.04%	 1.48%	720,342	713,577	77,357	 22,692
Pennsylvania	4,913,119	63.10%	 50.60%	 46.43%	 2.10%	 0.87%	2,485,967	2,281,127	103,392	 42,633
Rhode Island	409,112	60.90%	 60.99%	 31.91%	 6.12%	 0.98%	249,508	130,555	25,052	 3,997
South Carolina	1,383,777	61.10%	 40.91%	 56.83%	 1.47%	 0.80%	566,039	786,426	20,279	 11,033
South Dakota	316,269	67.10%	 37.56%	 60.30%	 0.00%	 2.14%	118,804	190,700	0	 6,765
Tennessee	2,076,181	65.30%	 47.28%	 51.15%	 0.95%	 0.61%	981,720	1,061,949	19,781	 12,731
Texas	6,407,637	62.40%	 37.98%	 59.30%	 2.15%	 0.57%	2,433,746	3,799,639	137,994	 36,258
Utah	770,754	68.60%	 26.34%	 66.83%	 4.65%	 2.17%	203,053	515,096	35,850	 16,755
Vermont	294,308	68.90%	 50.63%	 40.70%	 6.92%	 1.75%	149,022	119,775	20,374	 5,137
Virginia	2,739,447	72.60%	 44.44%	 52.47%	 2.17%	 0.92%	1,217,290	1,437,490	59,398	 25,269
Washington	2,488,745	74.60%	 50.13%	 44.56%	 4.14%	 1.17%	1,247,652	1,108,864	103,002	 29,227
West Virginia	648,124	60.80%	 45.59%	 51.92%	 1.65%	 0.84%	295,497	336,475	10,680	 5,472
Wisconsin	2,598,607	-	 47.83%	 47.61%	 3.62%	 0.93%	1,242,987	1,237,279	94,070	 24,271
Wyoming	218,351	99.20%	 27.70%	 67.76%	 2.12%	 2.43%	60,481	147,947	4,625	 5,298
Total	105,425,985	67.10%	 48.38%	 47.87%	 2.74%	 1.02%	51,009,810	50,462,412	2,883,443	 1,070,320
