State	Total Vote	%REG	Bush	Kerry	Other	Bush	Kerry	Other
Alabama	1,883,449	72.50%	 62.46%	 36.84%	 0.70%	1,176,394	693,933	 13,122
Alaska	312,598	66.20%	 61.07%	 35.52%	 3.42%	190,889	111,025	 10,684
Arizona	2,016,102	76.30%	 54.77%	 44.32%	 0.91%	1,104,294	893,524	 18,284
Arkansas	1,054,945	62.60%	 54.31%	 44.55%	 1.15%	572,898	469,953	 12,094
California	12,421,859	75.00%	 44.36%	 54.30%	 1.34%	5,509,826	6,745,485	 166,548
Colorado	2,130,325	88.60%	 51.69%	 47.02%	 1.28%	1,101,256	1,001,725	 27,344
Connecticut	1,578,769	77.20%	 43.95%	 54.31%	 1.74%	693,826	857,488	 27,455
Delaware	375,270	67.70%	 45.74%	 53.34%	 0.92%	171,660	200,152	 3,458
D. C.	227,586	59.30%	 9.34%	 89.18%	 1.48%	21,256	202,970	 3,360
Florida	7,609,810	73.90%	 52.10%	 47.09%	 0.81%	3,964,522	3,583,544	 61,744
Georgia	3,304,481	79.50%	 57.93%	 41.34%	 0.73%	1,914,254	1,366,149	 24,078
Hawaii	429,013	66.30%	 45.26%	 54.01%	 0.73%	194,191	231,708	 3,114
Idaho	598,447	75.00%	 68.38%	 30.26%	 1.36%	409,235	181,098	 8,114
Illinois	5,274,322	70.30%	 44.48%	 54.82%	 0.70%	2,345,946	2,891,550	 36,826
Indiana	2,468,002	57.40%	 59.94%	 39.26%	 0.79%	1,479,438	969,011	 19,553
Iowa	1,506,908	75.90%	 49.90%	 49.23%	 0.87%	751,957	741,898	 13,053
Kansas	1,187,756	70.10%	 62.00%	 36.62%	 1.37%	736,456	434,993	 16,307
Kentucky	1,796,079	64.30%	 59.54%	 39.68%	 0.77%	1,069,439	712,733	 13,907
Louisiana	1,943,106	66.50%	 56.72%	 42.22%	 1.06%	1,102,169	820,299	 20,638
Maine	740,752	72.30%	 44.58%	 53.57%	 1.85%	330,201	396,842	 13,709
Maryland	2,386,678	77.70%	 42.93%	 55.91%	 1.15%	1,024,703	1,334,493	 27,482
Massachusetts	2,912,388	71.10%	 36.78%	 61.94%	 1.29%	1,071,109	1,803,800	 37,479
Michigan	4,839,252	67.50%	 47.81%	 51.23%	 0.96%	2,313,746	2,479,183	 46,323
Minnesota	2,828,387	79.50%	 47.61%	 51.09%	 1.30%	1,346,695	1,445,014	 36,678
Mississippi	1,152,365	63.90%	 59.44%	 39.75%	 0.81%	684,981	458,094	 9,290
Missouri	2,731,364	65.10%	 53.30%	 46.10%	 0.60%	1,455,713	1,259,171	 16,480
Montana	450,445	70.60%	 59.07%	 38.56%	 2.37%	266,063	173,710	 10,672
Nebraska	778,186	67.10%	 65.90%	 32.68%	 1.42%	512,814	254,328	 11,044
Nevada	829,587	77.50%	 50.47%	 47.88%	 1.65%	418,690	397,190	 13,707
New Hampshire	677,738	79.20%	 48.87%	 50.24%	 0.88%	331,237	340,511	 5,990
New Jersey	3,612,137	72.20%	 46.23%	 52.92%	 0.85%	1,670,003	1,911,430	 30,704
New Mexico	756,304	68.40%	 49.84%	 49.05%	 1.11%	376,930	370,942	 8,432
New York	7,391,954	62.40%	 40.08%	 58.36%	 1.56%	2,962,567	4,314,280	 115,107
North Carolina	3,501,007	64.00%	 56.02%	 43.58%	 0.40%	1,961,166	1,525,849	 13,992
North Dakota	312,833	-	 62.86%	 35.50%	 1.64%	196,651	111,052	 5,130
Ohio	5,627,908	70.60%	 50.81%	 48.71%	 0.48%	2,859,768	2,741,167	 26,973
Oklahoma	1,463,758	68.30%	 65.57%	 34.43%	 0.00%	959,792	503,966	 0
Oregon	1,836,782	85.80%	 47.19%	 51.35%	 1.46%	866,831	943,163	 26,788
Pennsylvania	5,769,590	69.00%	 48.42%	 50.92%	 0.65%	2,793,847	2,938,095	 37,648
Rhode Island	437,134	61.70%	 38.67%	 59.42%	 1.91%	169,046	259,760	 8,328
South Carolina	1,617,730	69.90%	 57.98%	 40.90%	 1.12%	937,974	661,699	 18,057
South Dakota	388,215	77.30%	 59.91%	 38.44%	 1.65%	232,584	149,244	 6,387
Tennessee	2,434,949	73.00%	 56.81%	 42.51%	 0.68%	1,383,336	1,035,160	 16,453
Texas	7,410,765	67.40%	 61.09%	 38.22%	 0.69%	4,526,917	2,832,704	 51,144
Utah	927,844	72.60%	 71.54%	 26.00%	 2.47%	663,742	241,199	 22,903
Vermont	312,309	70.30%	 38.80%	 58.94%	 2.26%	121,180	184,067	 7,062
Virginia	3,198,367	76.50%	 53.68%	 45.48%	 0.83%	1,716,959	1,454,742	 26,666
Washington	2,861,713	81.60%	 45.60%	 52.77%	 1.63%	1,304,894	1,510,201	 46,618
West Virginia	755,887	64.70%	 56.06%	 43.20%	 0.74%	423,778	326,541	 5,568
Wisconsin	2,997,007	-	 49.32%	 49.70%	 0.98%	1,478,120	1,489,504	 29,383
Wyoming	243,428	104.70%	 68.86%	 29.07%	 2.06%	167,629	70,776	 5,023
Total	122,303,590	72.90%	 50.73%	 48.26%	 1.01%	62,039,572	59,027,115	 1,2
