State	Total Vote	%REG	Obama	McCain	Other	Obama	McCain	Other
Alabama	2,099,819	73.90%	 38.74%	 60.32%	 0.94%	813,479	1,266,546	 19,794
Alaska	326,197	65.80%	 37.89%	 59.42%	 2.69%	123,594	193,841	 8,762
Arizona	2,303,838	77.10%	 44.91%	 53.39%	 1.69%	1,034,707	1,230,111	 39,020
Arkansas	1,086,617	64.50%	 38.86%	 58.72%	 2.42%	422,310	638,017	 26,290
California	13,583,083	78.50%	 60.92%	 36.90%	 2.19%	8,274,473	5,011,781	 296,829
Colorado	2,401,462	91.10%	 53.66%	 44.71%	 1.63%	1,288,633	1,073,629	 39,200
Connecticut	1,646,793	78.20%	 60.59%	 38.22%	 1.19%	997,773	629,428	 19,592
Delaware	412,616	68.50%	 61.91%	 36.93%	 1.16%	255,459	152,374	 4,783
D. C.	265,853	62.30%	 92.46%	 6.53%	 1.01%	245,800	17,367	 2,686
Florida	8,412,248	74.80%	 50.91%	 48.10%	 0.99%	4,282,367	4,046,219	 83,662
Georgia	3,932,158	74.10%	 46.90%	 52.10%	 1.00%	1,844,123	2,048,759	 39,276
Hawaii	453,568	65.60%	 71.85%	 26.58%	 1.57%	325,871	120,566	 7,131
Idaho	658,454	76.30%	 35.91%	 61.21%	 2.89%	236,440	403,012	 19,002
Illinois	5,530,179	71.00%	 61.83%	 36.73%	 1.44%	3,419,348	2,031,179	 79,652
Indiana	2,756,658	61.10%	 49.84%	 48.81%	 1.34%	1,374,039	1,345,648	 36,971
Iowa	1,537,123	73.00%	 53.93%	 44.39%	 1.68%	828,940	682,379	 25,804
Kansas	1,238,873	70.80%	 41.55%	 56.48%	 1.97%	514,765	699,655	 24,453
Kentucky	1,827,587	62.90%	 41.15%	 57.37%	 1.49%	751,985	1,048,462	 27,140
Louisiana	1,960,761	66.60%	 39.93%	 58.56%	 1.50%	782,989	1,148,275	 29,497
Maine	731,163	73.50%	 57.71%	 40.38%	 1.91%	421,923	295,273	 13,967
Maryland	2,631,596	76.70%	 61.92%	 36.47%	 1.61%	1,629,467	959,862	 42,267
Massachusetts	3,081,069	73.00%	 61.80%	 35.99%	 2.21%	1,904,098	1,108,854	 68,117
Michigan	5,010,606	67.10%	 57.33%	 40.89%	 1.78%	2,872,579	2,048,639	 89,388
Minnesota	2,910,369	77.80%	 54.06%	 43.82%	 2.12%	1,573,354	1,275,409	 61,606
Mississippi	1,289,939	68.00%	 43.00%	 56.17%	 0.83%	554,662	724,597	 10,680
Missouri	2,929,111	77.20%	 49.23%	 49.36%	 1.41%	1,441,911	1,445,814	 41,386
Montana	492,750	73.80%	 47.11%	 49.49%	 3.39%	232,159	243,882	 16,709
Nebraska	801,281	69.20%	 41.60%	 56.53%	 1.87%	333,319	452,979	 14,983
Nevada	967,848	80.10%	 55.15%	 42.65%	 2.20%	533,736	412,827	 21,285
New Hampshire	710,970	74.20%	 54.13%	 44.52%	 1.35%	384,826	316,534	 9,610
New Jersey	3,877,407	72.50%	 57.14%	 41.61%	 1.26%	2,215,422	1,613,207	 48,778
New Mexico	830,158	69.60%	 56.91%	 41.78%	 1.31%	472,422	346,832	 10,904
New York	7,640,948	70.60%	 62.88%	 36.03%	 1.09%	4,804,945	2,752,771	 83,232
North Carolina	4,310,789	69.20%	 49.70%	 49.38%	 0.92%	2,142,651	2,128,474	 39,664
North Dakota	317,738	-	 44.50%	 53.15%	 2.34%	141,403	168,887	 7,448
Ohio	5,721,831	69.00%	 51.38%	 46.80%	 1.82%	2,940,044	2,677,820	 103,967
Oklahoma	1,462,661	67.00%	 34.35%	 65.65%	 0.00%	502,496	960,165	 0
Oregon	1,827,864	84.90%	 56.75%	 40.40%	 2.85%	1,037,291	738,475	 52,098
Pennsylvania	6,015,476	68.70%	 54.47%	 44.15%	 1.38%	3,276,363	2,655,885	 83,228
Rhode Island	471,766	67.30%	 62.86%	 35.06%	 2.08%	296,571	165,391	 9,804
South Carolina	1,920,969	74.50%	 44.90%	 53.87%	 1.23%	862,449	1,034,896	 23,624
South Dakota	381,975	72.00%	 44.75%	 53.16%	 2.09%	170,924	203,054	 7,997
Tennessee	2,601,982	71.80%	 41.79%	 56.85%	 1.36%	1,087,437	1,479,178	 35,367
Texas	8,087,791	69.30%	 43.63%	 55.38%	 0.99%	3,528,633	4,479,328	 79,830
Utah	958,996	66.90%	 34.17%	 62.15%	 3.68%	327,670	596,030	 35,296
Vermont	325,046	71.50%	 67.46%	 30.45%	 2.10%	219,262	98,974	 6,810
Virginia	3,723,260	75.80%	 52.63%	 46.33%	 1.04%	1,959,532	1,725,005	 38,723
Washington	3,053,261	84.10%	 57.34%	 40.26%	 2.40%	1,750,848	1,229,216	 73,197
West Virginia	715,123	59.00%	 42.49%	 55.58%	 1.93%	303,857	397,466	 13,800
Wisconsin	2,983,417	-	 56.22%	 42.31%	 1.47%	1,677,211	1,262,393	 43,813
Wyoming	254,658	104.00%	 32.54%	 64.78%	 2.68%	82,868	164,958	 6,832
Total	131,473,705	74.40%	 52.86%	 45.60%	 1.54%	69,499,428	59,950,323	 2,023,954
