State	Total Vote	%REG	Obama	Romney	Other	Obama	Romney	Other
Alabama	2,074,338	65.60%	 38.36%	 60.55%	 1.10%	795,696	1,255,925	 22,717
Alaska	300,495	59.30%	 40.81%	 54.80%	 4.39%	122,640	164,676	 13,179
Arizona	2,306,559	61.90%	 44.45%	 53.48%	 2.07%	1,025,232	1,233,654	 47,673
Arkansas	1,069,468	66.10%	 36.88%	 60.57%	 2.55%	394,409	647,744	 27,315
California	13,055,815	71.60%	 60.16%	 37.07%	 2.77%	7,854,285	4,839,958	 361,572
Colorado	2,571,846	70.60%	 51.45%	 46.09%	 2.47%	1,323,102	1,185,243	 63,501
Connecticut	1,558,993	70.30%	 58.06%	 40.72%	 1.22%	905,109	634,899	 18,985
Delaware	413,921	65.50%	 58.61%	 39.98%	 1.41%	242,584	165,484	 5,853
D. C.	293,764	60.70%	 90.91%	 7.28%	 1.81%	267,070	21,381	 5,313
Florida	8,492,175	71.20%	 49.90%	 49.03%	 1.07%	4,237,756	4,163,447	 90,972
Georgia	3,908,369	72.00%	 45.39%	 53.19%	 1.43%	1,773,827	2,078,688	 55,854
Hawaii	434,697	61.60%	 70.55%	 27.84%	 1.62%	306,658	121,015	 7,024
Idaho	656,742	73.30%	 32.40%	 64.09%	 3.51%	212,787	420,911	 23,044
Illinois	5,251,432	69.80%	 57.50%	 40.66%	 1.84%	3,019,512	2,135,216	 96,704
Indiana	2,633,143	57.80%	 43.84%	 54.04%	 2.13%	1,154,275	1,422,872	 55,996
Iowa	1,582,180	72.00%	 51.99%	 46.18%	 1.83%	822,544	730,617	 29,019
Kansas	1,157,532	65.40%	 38.00%	 59.59%	 2.40%	439,908	689,809	 27,815
Kentucky	1,798,048	59.20%	 37.78%	 60.47%	 1.75%	679,370	1,087,190	 31,488
Louisiana	1,994,065	67.20%	 40.58%	 57.78%	 1.64%	809,141	1,152,262	 32,662
Maine	713,180	69.50%	 56.27%	 40.98%	 2.75%	401,306	292,276	 19,598
Maryland	2,707,327	73.30%	 61.97%	 35.90%	 2.13%	1,677,844	971,869	 57,614
Massachusetts	3,167,767	72.90%	 60.67%	 37.52%	 1.82%	1,921,761	1,188,460	 57,546
Michigan	4,745,316	63.70%	 54.04%	 44.58%	 1.38%	2,564,569	2,115,256	 65,491
Minnesota	2,936,561	81.30%	 52.65%	 44.96%	 2.39%	1,546,167	1,320,225	 70,169
Mississippi	1,285,584	62.20%	 43.79%	 55.29%	 0.92%	562,949	710,746	 11,889
Missouri	2,763,689	69.00%	 44.28%	 53.64%	 2.08%	1,223,796	1,482,440	 57,453
Montana	484,484	71.10%	 41.66%	 55.30%	 3.04%	201,839	267,928	 14,717
Nebraska	794,379	68.30%	 38.03%	 59.80%	 2.17%	302,081	475,064	 17,234
Nevada	1,014,918	67.60%	 52.36%	 45.68%	 1.97%	531,373	463,567	 19,978
New Hampshire	710,972	78.50%	 51.98%	 46.40%	 1.62%	369,561	329,918	 11,493
New Jersey	3,651,140	66.40%	 58.25%	 40.50%	 1.25%	2,126,610	1,478,749	 45,781
New Mexico	783,757	62.50%	 52.99%	 42.84%	 4.16%	415,335	335,788	 32,634
New York	7,081,536	59.20%	 63.35%	 35.17%	 1.49%	4,485,877	2,490,496	 105,163
North Carolina	4,505,372	67.80%	 48.35%	 50.39%	 1.26%	2,178,391	2,270,395	 56,586
North Dakota	322,627	-	 38.69%	 58.32%	 2.99%	124,827	188,163	 9,637
Ohio	5,590,934	70.00%	 50.58%	 47.60%	 1.82%	2,827,709	2,661,437	 101,788
Oklahoma	1,334,872	63.10%	 33.23%	 66.77%	 0.00%	443,547	891,325	 0
Oregon	1,789,270	81.40%	 54.24%	 42.15%	 3.61%	970,488	754,175	 64,607
Pennsylvania	5,755,620	67.60%	 51.95%	 46.57%	 1.48%	2,990,274	2,680,434	 84,912
Rhode Island	446,049	60.90%	 62.70%	 35.24%	 2.06%	279,677	157,204	 9,168
South Carolina	1,964,118	68.30%	 44.09%	 54.56%	 1.35%	865,941	1,071,645	 26,532
South Dakota	363,815	62.50%	 39.87%	 57.89%	 2.24%	145,039	210,610	 8,166
Tennessee	2,460,904	61.30%	 39.04%	 59.42%	 1.54%	960,709	1,462,330	 37,865
Texas	7,999,657	58.60%	 41.35%	 57.13%	 1.52%	3,308,124	4,569,843	 121,690
Utah	1,020,861	67.50%	 24.67%	 72.55%	 2.79%	251,813	740,600	 28,448
Vermont	299,290	64.90%	 66.57%	 30.97%	 2.46%	199,239	92,698	 7,353
Virginia	3,854,489	71.00%	 51.16%	 47.28%	 1.56%	1,971,820	1,822,522	 60,147
Washington	3,145,958	80.60%	 55.80%	 41.03%	 3.18%	1,755,396	1,290,670	 99,892
West Virginia	672,119	53.90%	 35.45%	 62.14%	 2.41%	238,269	417,655	 16,195
Wisconsin	3,068,434	84.20%	 52.83%	 45.89%	 1.29%	1,620,985	1,407,966	 39,483
Wyoming	249,061	103.60%	 27.82%	 68.64%	 3.54%	69,286	170,962	 8,813
Total	129,237,642	68.00%	 51.01%	 47.15%	 1.85%	65,918,507	60,934,407	 2,384,728
