State	2000-2010	2010-2020	2020-2030
Alabama	9	9	8
Alaska	3	3	3
Arizona	10	11	12
Arkansas	6	6	6
California	55	55	55
Colorado	9	9	10
Connecticut	7	7	7
D.C.	3	3	3
Delaware	3	3	3
Florida	27	29	31
Georgia	15	16	16
Hawaii	4	4	4
Idaho	4	4	4
Illinois	21	20	19
Indiana	11	11	11
Iowa	7	6	6
Kansas	6	6	6
Kentucky	8	8	8
Louisiana	9	8	8
Maine	4	4	4
Maryland	10	10	10
Massachusetts	12	11	11
Michigan	17	16	15
Minnesota	10	10	9
Mississippi	6	6	6
Missouri	11	10	10
Montana	3	3	3
Nebraska	5	5	5
Nevada	5	6	6
New Hampshire	4	4	4
New Jersey	15	14	14
New Mexico	5	5	5
New York	31	29	28
North Carolina	15	15	16
North Dakota	3	3	3
Ohio	20	18	17
Oklahoma	7	7	7
Oregon	7	7	8
Pennsylvania	21	20	19
Rhode Island	4	4	3
South Carolina	8	9	9
South Dakota	3	3	3
Tennessee	11	11	11
Texas	34	38	41
Utah	5	6	6
Vermont	3	3	3
Virginia	13	13	13
Washington	11	12	12
West Virginia	5	5	4
Wisconsin	10	10	10
Wyoming	3	3	3
